account_id,federal_account_symbol,federal_account_name
359,014-5163,"Park Buildings Lease and Maintenance Fund, National Park Service"
360,014-5164,"Transportation Systems Fund, National Park Service"
361,014-5165,"Forest Ecosystems Health and Recovery, Bureau of Land Management"
362,014-5169,"Concessioner Improvement Accounts, National Park Service"
363,014-5173,"Central Valley Project Restoration Fund, Bureau of Reclamation"
364,014-5174,"Utah Reclamation Mitigation and Conservation Account, Interior"
365,014-5198,"Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary"
366,014-5232,"Southern Nevada Public Land Management, Bureau of Land Management"
367,014-5240,"Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)"
368,014-5241,"North American Wetlands Conservation Fund, United States Fish and Wildlife Service"
369,014-5242,"Alaska Resupply Program, Bureau of Indian Affairs"
370,014-5243,"Payments to States, National Forest Fund, Office of Natural Resources Revenue, Interior"
371,014-5247,"User Fees for Filming and Photography on Public Lands, National Park Service"
372,014-5248,"Payments to States, Flood Control Act of 1954, Office of Natural Resources Revenue, Interior"
373,014-5249,"Timber Sales Pipeline Restoration Fund, Bureau of Land Management"
374,014-5252,"Recreation Fee Enhancement Program, U.S. Fish and Wildlife Service"
375,014-5260,"Federal Land Disposal Account, Bureau of Land Management"
376,014-5265,"Tribal Special Fund, Bureau of Trust Funds Administration, Interior"
377,014-5294,"Use of Receipts from Mineral Leasing Activities on Certain Naval Oil Shale Reserves, Bureau of Land Management"
378,014-5397,"White Pine County Special Account, Bureau of Land Management"
379,014-5413,"Recreation Enhancement Fee Program, Bureau of Land Management"
380,014-5425,"Environmental Improvement and Restoration Fund, Office of Natural Resources Revenue, Interior"
381,014-5430,"Water and Related Resources, Reclamation Fund, Bureau of Reclamation"
382,014-5431,"Park Concessions Franchise Fees, National Park Service"
383,014-5469,"Lincoln County Land Act, Bureau of Land Management"
384,014-5474,"State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service"
385,014-5479,"Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service"
386,014-5483,"San Gabriel Basin Restoration Fund, Bureau of Reclamation"
387,014-5485,"Title II Projects on Federal Lands, Bureau of Land Management"
388,014-5488,"Payments to Alaska, Arctic National Wildlife Refuge, Office of Natural Resources Revenue, Interior"
389,014-5494,"Exotic Bird Conservation Fund, U.S. Fish and Wildlife Service"
390,014-5496,"Landowner Incentive Program, U.S. Fish and Wildlife Service"
391,014-5501,"Community Partnership Enhancement, U.S. Fish and Wildlife Service"
392,014-5505,"Indian Water Rights and Habitat Acquisition Program, Bureau of Indian Affairs"
393,014-5506,"Stewardship Contracting Product Sales, Bureau of Land Management"
394,014-5535,"State's Share from Certain Gulf of Mexico Leases, Office of Natural Resources Revenue, Interior"
395,014-5536,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases, National Park Service"
396,014-5537,"San Joaquin River Restoration Fund, Bureau of Reclamation, Interior"
397,014-5554,"Washington County, Utah Land Acquisition Account, Bureau of Land Management, Interior"
398,014-5556,"Owyhee Land Acquisition Account, Bureau of Land Management, Interior"
399,014-5558,"Carson City Special Account, Bureau of Land Management, Interior"
400,014-5559,"Silver Saddle Endowment Account, Bureau of Land Management, Interior"
401,014-5561,"State Share, Carson City Land Sales, Bureau of Land Management, Interior"
402,014-5571,"Departmental Operations, Land and Water Conservation Fund, Departmental Offices, Interior"
403,014-5573,"Permit Processing Fund, Bureau of Land Management"
404,014-5574,"Geothermal Lease Revenues, Payment to Counties, Office of Natural Resources Revenue, Interior"
405,014-5575,Geothermal Steam Implementation Fund
406,014-5576,Naval Petroleum Reserve Numbered 2 Lease Revenue Account
407,014-5579,"Coastal Impact Assistance, Fish and Wildlife Service, Interior"
408,014-5593,"Reclamation Water Settlements Fund, Bureau of Reclamation, Interior"
409,014-5611,"San Juan County, New Mexico Federal Land Conveyance, Bureau of Land Management, Interior"
410,014-5612,"Ojito Land Acquisition, Interior"
411,014-5614,"Decommissioning Activities, Bureau of Ocean Energy Management, Interior"
412,014-5621,"Operation and Maintenance of Quarters, Bureau of Indian Education, Interior"
413,014-5624,"Aging Infrastructure Account, Bureau of Reclamation, Interior"
414,014-5637,"High-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
415,014-5638,"Low-Hazard Indian Dam Safety Deferred Maintenance Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
416,014-5639,"Indian Irrigation Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
417,014-5648,"Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs"
418,014-5656,"Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation"
419,014-5663,"Educational Expenses, Children of Employees, Yellowstone National Park, National Park Service"
420,014-5666,"Payment for Tax Losses on Land Acquired for Grand Teton National Park, National Park Service"
421,014-5668,"Blackfeet Water Settlement Implementation Fund, Bureau of Reclamation, Interior"
422,014-5670,"Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior"
423,014-5715,"National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior"
424,014-5740,"Selis-Qlispe Ksanka Settlement Trust Fund, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
425,014-5762,"National Park Medical Services Fund, National Park Service, Interior"
426,014-5884,"Payments to Counties, Oregon and California Grant Lands, Bureau of Land Management"
427,014-5896,"Payments to Counties, National Grasslands, Bureau of Land Management"
428,014-5898,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Coos Bay Wagon Road Grant Lands, Bureau of Land Management"
429,014-8030,"Tribal Trust Fund, Bureau of Trust Funds Administration, Interior"
430,014-8037,"Donations, National Park Service"
431,014-8052,"Preservation, Birthplace of Abraham Lincoln, National Park Service"
432,014-8069,"Land and Resources Management Trust Fund, Bureau of Land Management"
433,014-8070,"Reclamation Trust Funds, Bureau of Reclamation"
434,014-8151,"Sport Fish Restoration Account, United States Fish and Wildlife Service"
435,014-8216,"Contributed Funds, United States Fish and Wildlife Service"
436,014-8361,"Gifts and Donations, Bureau of Indian Affairs"
437,014-8367,"Gifts and Donations, Bureau of Indian Affairs and Bureau of Indian, Interior"
438,014-8369,"Gifts and Bequest, Take Pride in America, Interior"
439,014-8370,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior"
440,014-8562,"Contributed Funds, Geological Survey, Interior"
441,015-0100,"Salaries and Expenses, Foreign Claims Settlement Commission, Justice"
442,015-0104,"Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims, Foreign Claims Settlement Commission, Justice"
443,015-0128,"Salaries and Expenses, General Legal Activities, Justice"
444,015-0129,"Salaries and Expenses, General Administration, Justice"
445,015-0132,"Tactical Law Enforcement Wireless Communications, General Administration, Justice"
446,015-0133,"Construction, United States Marshals Service, Justice"
447,015-0134,"Justice Information Sharing Technology, General Administration, Justice"
448,015-0139,"Victims Compensation Fund, General Legal Activities, Justice"
449,015-0200,"Salaries and Expenses, Federal Bureau of Investigation, Justice"
450,015-0203,"Construction, Federal Bureau of Investigation, Justice"
451,015-0311,"Fees and Expenses of Witnesses, Justice"
452,015-0319,"Salaries and Expenses, Antitrust Division, Justice"
453,015-0322,"Salaries and Expenses, United States Attorneys, Justice"
454,015-0323,"Interagency Crime and Drug Enforcement, Interagency Law Enforcement, Justice"
455,015-0324,"Salaries and Expenses, United States Marshals Service, Justice"
456,015-0327,"Independent Counsel, Justice"
457,015-0328,"Office of Inspector General, General Administration, Justice"
458,015-0334,"Weed and Seed Program Fund, Justice"
459,015-0339,"Executive Office for Immigration Review, General Administration, Justice"
460,015-0401,"Research, Evaluation, and Statistics, Office of Justice Programs, Justice"
461,015-0403,"Public Safety Officers Benefits, Office of Justice Programs, Justice"
462,015-0404,"State and Local Law Enforcement Assistance, Office of Justice Programs, Justice"
463,015-0405,"Juvenile Justice Programs, Office of Justice Programs, Justice"
464,015-0406,"Community Oriented Policing Services, Office of Justice Programs, Justice"
465,015-0409,"Violence Against Women Prevention and Prosecution Programs, Office of Justice Programs, Justice"
466,015-0500,"Salaries and Expenses, Community Relations Service, Justice"
467,015-0700,"Salaries and Expenses, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice"
468,015-0720,"Construction, Bureau of Alcohol, Tobacco, Firearms and Explosives, Justice"
469,015-1003,"Buildings and Facilities, Federal Prison System, Justice"
470,015-1020,"Federal Prisoner Detention, United States Marshals Service, Justice"
471,015-1060,"Salaries and Expenses, Federal Prison System, Justice"
472,015-1061,"Salaries and Expenses, United States Parole Commission, Justice"
473,015-1100,"Salaries and Expenses, Drug Enforcement Administration, Justice"
474,015-1101,"Construction, Drug Enforcement Administration, Justice"
475,015-1300,"Salaries and Expenses, National Security Division, Justice"
476,015-4500,"Prison Industries Fund, Justice"
477,015-4526,"Working Capital Fund, Justice"
478,015-4575,"Justice Prisoner and Alien Transportation System Fund, United States Marshals Service, Justice"
479,015-5041,"Crime Victims Fund, Justice"
480,015-5042,"Assets Forfeiture Fund, Justice"
481,015-5073,"United States Trustee System Fund, Justice"
482,015-5131,"Diversion Control Fee Account, Justice"
483,015-5606,"Domestic Trafficking Victims' Fund, Office of Justice Programs, Justice"
484,015-5608,"United States Victims of State Sponsored Terrorism Fund, General Legal Activities, Justice"
485,015-8116,"Radiation Exposure Compensation Trust Fund, Justice"
486,015-8305,"Justice Gift Fund, Justice"
487,015-8306,"Gifts, Crime Victims Fund, Office of Justice Programs, Justice"
488,015-8408,"Commissary Funds, Federal Prisons, Justice"
489,016-0174,"Training and Employment Service, Employment and Training Administration, Labor"
490,016-0181,"Office of Job Corps, Employment and Training Administration, Labor"
491,016-4204,"Pension Benefit Guaranty Corporation Fund, Pension Benefit Guaranty Corporation, Labor"
492,017-0380,"Coastal Defense Augmentation, Navy"
493,017-0730,"Family Housing Construction, Navy and Marine Corps"
494,017-0735,"Family Housing Operation and Maintenance, Navy and Marine Corps"
495,017-0810,"Environmental Restoration, Navy"
496,017-1000,"Medicare-Eligible Retiree Health Fund Contribution, Navy"
497,017-1001,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps"
498,017-1002,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Navy"
499,017-1003,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps"
500,017-1105,"Military Personnel, Marine Corps"
501,017-1106,"Operation and Maintenance, Marine Corps"
502,017-1107,"Operation and Maintenance, Marine Corps Reserve"
503,017-1108,"Reserve Personnel, Marine Corps"
504,017-1109,"Procurement, Marine Corps"
505,017-1205,"Military Construction, Navy and Marine Corps"
506,017-1235,"Military Construction, Navy Reserve"
507,017-1236,"Payments to Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy"
508,017-1319,"Research, Development, Test, and Evaluation, Navy"
509,017-1405,"Reserve Personnel, Navy"
510,017-1453,"Military Personnel, Navy"
511,017-1506,"Aircraft Procurement, Navy"
512,017-1507,"Weapons Procurement, Navy"
513,017-1508,"Procurement of Ammunition, Navy and Marine Corps"
514,017-1611,"Shipbuilding and Conversion, Navy"
515,017-1612,"National Sea-Based Deterrence Fund, Navy"
516,017-1804,"Operation and Maintenance, Navy"
517,017-1806,"Operation and Maintenance, Navy Reserve"
518,017-1810,"Other Procurement, Navy"
519,017-4557,"National Defense Sealift Fund, Navy"
520,017-5095,"Wildlife Conservation, Etc., Military Reservations, Navy"
521,017-5185,"Kaho'Olawe Island Conveyance, Remediation, and Environmental Restoration Fund, Navy"
522,017-5562,Ford Island Improvement Account
523,017-5630,"Department of Defense World War II Commemoration Fund, Navy"
524,017-8716,"Department of the Navy General Gift Fund, Navy"
525,017-8723,"Ships' Stores Profits, Navy"
526,017-8733,United States Naval Academy General Gift Fund
527,019-0107,"Salaries and Expenses, State"
528,019-0113,"Diplomatic and Consular Programs, State"
529,019-0121,"Conflict Stabilization Operations, State"
530,019-0201,"International Information Programs, State"
531,019-0202,"East-West Center, State"
532,019-0203,"North/South Center, State"
533,019-0209,"Educational and Cultural Exchange Programs, State"
534,019-0507,"Centralized Information Technology Modernization Program, State"
535,019-0520,"Protection of Foreign Missions and Officials, State"
536,019-0523,"Payment to the American Institute in Taiwan, State"
537,019-0524,"Buying Power Maintenance Account, State"
538,019-0525,"Payment to the Asia Foundation, State"
539,019-0529,"Office of the Inspector General, State"
540,019-0535,"Embassy Security, Construction, and Maintenance, State"
541,019-0540,"Payment to the Foreign Service Retirement and Disability Fund, State"
542,019-0545,"Representation Expenses, State"
543,019-0601,"Repatriation Loans, Program Account, State"
544,019-1005,"International Organizations and Programs, Funds Appropriated to the President, State"
545,019-1030,"Global HIV/AIDS Initiative, State"
546,019-1031,"Global Health Programs, State"
547,019-1069,"Salaries and Expenses, International Boundary and Water Commission, United States and Mexico, State"
548,019-1082,"American Sections, International Commissions, State"
549,019-1087,"International Fisheries Commissions, State"
550,019-1121,"Democracy Fund, State"
551,019-1124,"Contributions for International Peacekeeping Activities, State"
552,019-1126,"Contributions to International Organizations, State"
553,019-1143,"Migration and Refugee Assistance, State"
554,019-1154,"Andean Counterdrug Programs, State"
555,019-1159,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America International Technology Security and Innovation Fund, State"
556,019-5116,"Fisherman's Protective Fund, Special Account, State"
557,019-5121,"Fishermen's Guaranty Fund, State"
558,019-5151,"International Center, Washington, D. C., State"
559,019-5515,"H-1B and L Fraud Prevention and Detection Account, State"
560,019-5713,"Consular and Border Security Programs, Administration of Foreign Affairs, State"
561,019-8166,"American Studies Endowment Fund, State"
562,019-8167,"Trust Funds, State"
563,019-8271,"Israeli Arab Scholarship Program, State"
564,019-8272,"Eastern Europe Student Exchange Endowment Fund, State"
565,019-8821,"Unconditional Gift Fund, State"
566,019-8822,"Conditional Gift Fund, General, State"
567,020-0003,"United States Quota, International Monetary Fund, Treasury"
568,020-0004,"Maintenance of Value Adjustments, International Monetary Fund, Treasury"
569,020-0066,"Global Environment Facility, Treasury"
570,020-0067,"Contribution to the Asian Development Fund, Treasury"
571,020-0071,"Contribution to the Strategic Climate Fund, Treasury"
572,020-0072,"Contribution to the Inter-American Development Bank, Treasury"
573,020-0073,"Contribution to the International Development Association, Treasury"
574,020-0074,"Loans to the International Monetary Fund, Treasury"
575,020-0076,"Contribution to the Asian Development Bank, Treasury"
576,020-0077,"Contribution to the International Bank for Reconstruction and Development, Treasury"
577,020-0078,"Contribution to the International Finance Corporation, Treasury"
578,020-0079,"Contribution to the African Development Fund, Treasury"
579,020-0080,"Contribution to the Clean Technology Fund, Treasury"
580,020-0082,"Contribution to the African Development Bank, Treasury"
581,020-0084,"Contribution to the Multilateral Investment Guarantee Agency, Treasury"
582,020-0088,"Contribution to the European Bank for Reconstruction and Development, Treasury"
583,020-0089,"Contribution to the Enterprise for the Americas Multilateral Investment Fund, Treasury"
584,020-0091,"Debt Restructuring, Treasury"
585,020-0101,"Salaries and Expenses, Departmental Offices, Treasury"
586,020-0106,"Salaries and Expenses, Office of Inspector General, Treasury"
587,020-0115,"Department-Wide Systems and Capital Investments Programs, Departmental Offices, Treasury"
588,020-0117,"Counterterrorism Fund, Departmental Offices, Treasury"
589,020-0119,"Salaries and Expenses, Treasury Inspector General for Tax Administration, Departmental Offices, Treasury"
590,020-0123,"Terrorism Insurance Program, Departmental Offices, Treasury"
591,020-0124,"Homeowner Assistance Fund, Departmental Offices, Treasury"
592,020-0125,"Assistance to Federal National Mortgage Association and Federal Home Loan Mortgage Corporation, Departmental Offices, Treasury"
593,020-0126,"GSE Mortgage-Backed Securities Purchase Program Account, Departmental Offices, Treasury"
594,020-0128,"Office of Financial Stability, Departmental Offices, Treasury"
595,020-0133,"Special Inspector General for the Troubled Asset Relief Program, Salaries and Expenses, Departmental Offices, Treasury"
596,020-0134,"Troubled Asset Relief Program Account, Equity Purchase Program, Departmental Offices, Treasury"
597,020-0136,"Troubled Asset Relief Program, Housing Programs, Departmental Offices, Treasury"
598,020-0141,"Small Business Lending Fund, Departmental Offices, Treasury"
599,020-0142,"State Small Business Credit Initiative, Departmental Offices, Treasury"
600,020-0146,"Social Impact Demonstration Projects, Departmental Offices, Treasury"
601,020-0150,"Emergency Rental Assistance, Departmental Offices, Treasury"
602,020-0151,"Public Broadcasting Fund, Corporation for Public Broadcasting, Treasury"
603,020-0156,"Transportation Services Economic Relief, Department Offices, Treasury"
604,020-0158,"Pandemic Relief for Aviation Workers, Departmental Offices, Treasury"
605,020-0159,"Payment to United States Virgin Islands and Puerto Rico for Disaster Tax Relief, Internal Revenue Service, Treasury"
606,020-0160,"Community Development Financial Institutions Fund Program, Emergency Support, Departmental Offices, Treasury"
607,020-0161,"Emergency Capital Investment Fund, Departmental Offices, Treasury"
608,020-0165,"Committee on Foreign Investment in the United States Fund, Departmental Offices, Treasury"
609,020-0173,"Salaries and Expenses, Financial Crimes Enforcement Network"
610,020-0500,"Public Debt Principal (Indefinite), Treasury"
611,020-0501,"Payment to the Legal Services Corporation, Legal Services Corporation"
612,020-0503,"Gain/Loss on Buyback of US Treasury Securities, Bureau of the Fiscal Service, Treasury"
613,020-0520,"Salaries and Expenses, Bureau of the Fiscal Service, Treasury"
614,020-0550,"Interest on the Public Debt (Indefinite), Bureau of the Fiscal Service, Treasury"
615,020-0562,"Reimbursements to Federal Reserve Banks, Bureau of the Fiscal Service, Treasury"
616,020-0575,"Sinking Fund, Treasury"
617,020-0903,"Refunding Internal Revenue Collections (Indefinite), Treasury"
618,020-0904,"Refunding Internal Revenue Collections, Interest (Indefinite), Treasury"
619,020-0905,"U.S. Coronavirus Payments, Internal Revenue Service, Treasury"
620,020-0906,"Payment Where Earned Income Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury"
621,020-0912,"Taxpayer Services, Internal Revenue Service, Treasury"
622,020-0913,"Enforcement, Internal Revenue Service"
623,020-0919,"Operations Support, Internal Revenue Service, Treasury"
624,020-0921,"Business Systems Modernization, Internal Revenue Service, Treasury"
625,020-0922,"Payment Where Child Tax Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury"
626,020-0923,"Payment Where Health Coverage Tax Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury"
627,020-0931,"Payment Where Certain Tax Credits Exceeds Liability for Corporate Tax, Internal Revenue Service, Treasury"
628,020-0932,"Payment Where American Opportunity Credit Exceeds Liability for Tax - Recovery Act, Internal Revenue Service, Treasury"
629,020-0935,"Build America Bond Payments - Recovery Act, Internal Revenue Service, Treasury"
630,020-0936,"U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury"
631,020-0943,"Child and Dependent Care Tax Credit, Internal Revenue Service, Department of the Treasury"
632,020-0945,"Payment to Issuer of Qualified Zone Academy Bonds, Internal Revenue Service, Treasury"
633,020-0946,"Payment to Issuer of Qualified School Construction Bonds, Internal Revenue Service, Treasury"
634,020-0947,"Payment to Issuer of New Clean Renewable Energy Bonds, Internal Revenue Service, Treasury"
635,020-0948,"Payment to Issuer of Qualified Energy Conservation Bonds, Internal Revenue Service, Treasury"
636,020-0949,"Refundable Premium Assistance Tax Credit, Internal Revenue Service, Treasury"
637,020-0951,"Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury"
638,020-0957,"Direct E-File Taskforce, Internal Revenue Service, Treasury"
639,020-0958,"Energy Security, Internal Revenue Service, Treasury"
640,020-0962,"Advanced Manufacturing Investment Credit, Internal Revenue Service, Treasury"
641,020-0963,"Elective Payment for Energy Property and Electricity Produced from Certain Renewable Resources, Etc., Internal Revenue Service, Treasury"
642,020-0964,"Clean Vehicle Credit, Internal Revenue Service, Treasury"
643,020-0965,"Credit for Previously-Owned Clean Vehicles, Internal Revenue Service, Treasury"
644,020-1008,"Salaries and Expenses, Alcohol and Tobacco Tax and Trade Bureau, Treasury"
645,020-1039,"Contribution to the International Fund for Agricultural Development, Treasury"
646,020-1045,"International Affairs Technical Assistance, Office of Technical Assistance, Treasury"
647,020-1475,"Global Agriculture and Food Security Program, Treasury"
648,020-1699,"Contributions to the International Monetary Fund Facilities and Trust Funds, Treasury"
649,020-1701,"Federal Payment for the District of Columbia National Guard, Treasury"
650,020-1706,"Relief of Individuals and Others by Private and Public Laws, Bureau of the Fiscal Service, Treasury"
651,020-1710,"Payment of Government Losses in Shipment, Bureau of the Fiscal Service, Treasury"
652,020-1713,"Federal Payment to the District of Columbia Judicial Survivors and Annuity Fund, Treasury"
653,020-1714,"Federal Payment to the Federal District of Columbia Pension Fund, Treasury"
654,020-1736,"Federal Payment for Resident Tuition Support, Treasury"
655,020-1740,"Judgements, Court of Claims (Indefinite), Bureau of the Fiscal Service, Treasury"
656,020-1741,"Judgements, United States Courts (Indefinite), Bureau of the Fiscal Service, Treasury"
657,020-1742,"Claims for Damages (Indefinite), Bureau of the Fiscal Service, Treasury"
658,020-1743,"Claims for Contract Disputes (Indefinite), Bureau of the Fiscal Service, Treasury"
659,020-1748,"Claims for Fire Fighting Services (Indefinite), Bureau of the Fiscal Service, Treasury"
660,020-1771,"Federal Payment for Emergency Planning and Security Costs in the District of Columbia, Treasury"
661,020-1796,"Federal Payment to the District of Columbia Water and Sewer Authority, Treasury"
662,020-1801,"Salaries and Expenses, Bureau of the Fiscal Service, Treasury"
663,020-1802,"Financial Agent Services, Bureau of the Fiscal Service, Treasury"
664,020-1804,"Salaries and Expenses, Office of Terrorism and Financial Intelligence, Departmental Offices, Treasury"
665,020-1807,"Refund of Moneys Erroneously Received and Covered (Indefinite), Treasury"
666,020-1817,"Federal Payment for School Improvement, Treasury"
667,020-1818,"Federal Payment to the Criminal Justice Coordinating Council, Treasury"
668,020-1820,"Federal Payment for Central Library and Branch Locations, Treasury"
669,020-1822,"Federal Payment for Judicial Commissions, Treasury"
670,020-1824,"Federal Payment for Testing and Treatment of HIV/AIDS, Treasury"
671,020-1851,"Payment to the Resolution Funding Corporation, Bureau of the Fiscal Service, Treasury"
672,020-1855,"Cybersecurity Enhancement Account, Departmental Offices, Treasury"
673,020-1860,"Interest on Uninvested Funds (Indefinite),  Bureau of the Fiscal Service, Treasury"
674,020-1875,"Restitution of Forgone Interest, Bureau of the Fiscal Service, Treasury"
675,020-1877,"Federal Interest Liabilities to the States, Bureau of the Fiscal Service, Treasury"
676,020-1880,"Credit Reform:  Interest Paid on Uninvested Funds (Indefinite),  Bureau of the Fiscal Service, Treasury"
677,020-1881,"Community Development Financial Institutions Fund, Program Account, Treasury"
678,020-1884,"Federal Reserve Bank Reimbursement Fund,  Bureau of the Fiscal Service, Treasury"
679,020-1889,"Economic Stabilization Program Account, Departmental Offices, Treasury"
680,020-1892,"Coronavirus Relief Fund, Departmental Offices, Treasury"
681,020-1893,"Special Inspector General for Pandemic Recovery, Treasury"
682,020-1894,"Air Carrier Worker Support, Departmental Offices, Department of Treasury"
683,020-1896,"Coronavirus Capital Projects Fund, Departmental Offices, Treasury"
684,020-1897,"Local Assistance and Tribal Consistency Fund, Departmental Offices, Treasury"
685,020-1916,"Treasury International Assistance Programs, Bureau of the Fiscal Service, Treasury"
686,020-1921,IT System Modernization and Working Capital Fund
687,020-4109,"United States Treasury Check Forgery Insurance Fund,  Bureau of the Fiscal Service, Treasury"
688,020-4159,"United States Mint Public Enterprise Fund, Treasury"
689,020-4394,"Financial Integrity Fund, Financial Crimes Enforcement Network, Treasury"
690,020-4413,"Federal Tax Lien Revolving Fund, Internal Revenue Service, Treasury"
691,020-4444,"Exchange Stabilization Fund, Office of the Secretary, Treasury"
692,020-4446,"Federal Payment for Water and Sewer Services, Treasury"
693,020-4502,"Bureau of Engraving and Printing Fund, Treasury"
694,020-4521,"Federal Financing Bank Revolving Fund, Treasury"
695,020-4560,"Treasury Franchise Fund, Treasury"
696,020-5080,"Gifts to Reduce Debt Held by the Public, Bureau of the Fiscal Service, Treasury"
697,020-5081,"Presidential Election Campaign Fund, Treasury"
698,020-5432,"Internal Revenue Service, Miscellaneous Retained Fees, Treasury"
699,020-5433,"Informant Payments, Internal Revenue Service, Treasury"
700,020-5445,"Debt Collection Fund, Bureau of the Fiscal Service, Treasury"
701,020-5510,"Private Collection Agent Program, Internal Revenue Service, Treasury"
702,020-5511,"District of Columbia Federal Pension Fund, Treasury"
703,020-5581,"HOPE Reserve Fund, Bureau of the Fiscal Service, Treasury"
704,020-5590,"Financial Research Fund, Departmental Offices, Treasury"
705,020-5622,"Special Compliance Personnel Program, Internal Revenue Service, Treasury"
706,020-5680,"Guam World War II Claims Fund, Treasury"
707,020-5688,"Continued Dumping and Subsidy Offset, United States Customs Service, Treasury"
708,020-5697,"Treasury Forfeiture Fund, Treasury"
709,020-5737,"Internal Revenue, Collections for Puerto Rico, Treasury"
710,020-8207,"Lower Brule Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund,  Bureau of the Fiscal Service, Treasury"
711,020-8209,"Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund, Bureau of the Fiscal Service, Treasury"
712,020-8212,"District of Columbia Judicial Retirement and Survivor's Annuity Fund, Treasury"
713,020-8413,"Assessment Funds, Office of the Comptroller of the Currency, Treasury"
714,020-8524,"Capital Magnet Fund, Community Development Financial Institutions, Departmental Offices, Treasury"
715,020-8625,"Gulf Coast Restoration Trust Fund, Bureau of the Fiscal Service, Treasury"
716,020-8790,"Gifts and Bequests, Treasury"
717,021-0720,"Family Housing Construction, Army"
718,021-0725,"Family Housing Operation and Maintenance, Army"
719,021-0810,"Environmental Restoration, Army"
720,021-1004,"Medicare-Eligible Retiree Health Fund Contribution, Army"
721,021-1005,"Medicare-Eligible Retiree Health Fund Contribution, Reserve Personnel, Army"
722,021-1006,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army"
723,021-1805,"Salaries and Expenses, Cemeterial Expenses, Army"
724,021-1809,"Construction, Cemeterial Expenses, Army"
725,021-2010,"Military Personnel, Army"
726,021-2020,"Operation and Maintenance, Army"
727,021-2031,"Aircraft Procurement, Army"
728,021-2032,"Missile Procurement, Army"
729,021-2033,"Procurement of Weapons and Tracked Combat Vehicles, Army"
730,021-2034,"Procurement of Ammunition, Army"
731,021-2035,"Other Procurement, Army"
732,021-2040,"Research, Development, Test, and Evaluation, Army"
733,021-2050,"Military Construction, Army"
734,021-2060,"National Guard Personnel, Army"
735,021-2065,"Operation and Maintenance, Army National Guard"
736,021-2070,"Reserve Personnel, Army"
737,021-2080,"Operation and Maintenance, Army Reserve"
738,021-2085,"Military Construction, Army National Guard"
739,021-2086,"Military Construction, Army Reserve"
740,021-2089,"Iraq Relief and Reconstruction Fund, Army"
741,021-2090,"Operating Expenses of the Coalition Provisional Authority, Army"
742,021-2091,"Afghanistan Security Forces Fund, Army"
743,021-2099,"Counter-ISIS Train and Equip Fund, Army"
744,021-5095,"Wildlife Conservation, Etc., Military Reservations, Army"
745,021-5098,"Restoration, Rocky Mountain Arsenal, Army"
746,021-5285,"Department of Defense, Forest Products Program, Army"
747,021-5286,"National Science Center, Army"
748,021-5602,"National Military Cemeteries Concessions, Army"
749,021-5752,"Department of Defense Korean War Commemoration Fund, Army"
750,021-5756,"Natick Land Conveyance, Army"
751,021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army"
752,021-8721,Heritage Center for the National Museum of the United States Army
753,021-8927,"Department of the Army General Gift Fund, Army"
754,024-0100,"Salaries and Expenses, Office of Personnel Management"
755,024-0200,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management"
756,024-0206,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management"
757,024-0400,"Salaries and Expenses, Office of Inspector General, Office of Personnel Management"
758,024-0500,"Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management"
759,024-0600,"OPM Building Delegation Fund, Office of Personnel Management"
