function_id,budget_function,budget_subfunction
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
20,Natural Resources and Environment,Recreational resources
36,National Defense,Department of Defense-Military
20,Natural Resources and Environment,Recreational resources
36,National Defense,Department of Defense-Military
48,Veterans Benefits and Services,Other veterans benefits and services
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
49,General Government,Central personnel management
49,General Government,Central personnel management
27,Health,Health care services
49,General Government,Central personnel management
21,Income Security,Federal employee retirement and disability
49,General Government,Central personnel management
49,General Government,Central personnel management
21,Income Security,Federal employee retirement and disability
27,Health,Health care services
49,General Government,Central personnel management
49,General Government,Central personnel management
27,Health,Health care services
21,Income Security,Federal employee retirement and disability
21,Income Security,Federal employee retirement and disability
27,Health,Health care services
27,Health,Health care services
47,Commerce and Housing Credit,Deposit insurance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
42,Income Security,Other income security
50,Veterans Benefits and Services,Income security for veterans
51,Social Security,Social security
42,Income Security,Other income security
52,Medicare,Medicare
27,Health,Health care services
51,Social Security,Social security
51,Social Security,Social security
51,Social Security,Social security
42,Income Security,Other income security
51,Social Security,Social security
51,Social Security,Social security
51,Social Security,Social security
22,Commerce and Housing Credit,Other advancement of commerce
53,Energy,"Energy information, policy, and regulation"
53,Energy,"Energy information, policy, and regulation"
53,Energy,"Energy information, policy, and regulation"
29,International Affairs,Conduct of foreign affairs
50,Veterans Benefits and Services,Income security for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
50,Veterans Benefits and Services,Income security for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
55,Veterans Benefits and Services,"Veterans education, training, and rehabilitation"
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
56,Veterans Benefits and Services,Veterans housing
56,Veterans Benefits and Services,Veterans housing
56,Veterans Benefits and Services,Veterans housing
50,Veterans Benefits and Services,Income security for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
50,Veterans Benefits and Services,Income security for veterans
50,Veterans Benefits and Services,Income security for veterans
50,Veterans Benefits and Services,Income security for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
56,Veterans Benefits and Services,Veterans housing
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
54,Veterans Benefits and Services,Hospital and medical care for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
50,Veterans Benefits and Services,Income security for veterans
55,Veterans Benefits and Services,"Veterans education, training, and rehabilitation"
50,Veterans Benefits and Services,Income security for veterans
48,Veterans Benefits and Services,Other veterans benefits and services
50,Veterans Benefits and Services,Income security for veterans
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
57,"General Science, Space, and Technology",General science and basic research
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
47,Commerce and Housing Credit,Deposit insurance
47,Commerce and Housing Credit,Deposit insurance
47,Commerce and Housing Credit,Deposit insurance
49,General Government,Central personnel management
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
20,Natural Resources and Environment,Recreational resources
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
35,Income Security,General retirement and disability insurance (excluding social se
35,Income Security,General retirement and disability insurance (excluding social se
58,Income Security,Unemployment compensation
58,Income Security,Unemployment compensation
58,Income Security,Unemployment compensation
58,Income Security,Unemployment compensation
35,Income Security,General retirement and disability insurance (excluding social se
35,Income Security,General retirement and disability insurance (excluding social se
35,Income Security,General retirement and disability insurance (excluding social se
58,Income Security,Unemployment compensation
35,Income Security,General retirement and disability insurance (excluding social se
35,Income Security,General retirement and disability insurance (excluding social se
12,Health,Consumer and occupational health and safety
12,Health,Consumer and occupational health and safety
49,General Government,Central personnel management
59,Transportation,Water transportation
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
8,Natural Resources and Environment,Water resources
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
18,Natural Resources and Environment,Other natural resources
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
60,Transportation,Other transportation
60,Transportation,Other transportation
41,Transportation,Air transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
22,Commerce and Housing Credit,Other advancement of commerce
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
32,National Defense,Defense-related activities
32,National Defense,Defense-related activities
59,Transportation,Water transportation
59,Transportation,Water transportation
32,National Defense,Defense-related activities
32,National Defense,Defense-related activities
60,Transportation,Other transportation
61,Transportation,Transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
41,Transportation,Air transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
41,Transportation,Air transportation
60,Transportation,Other transportation
60,Transportation,Other transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
59,Transportation,Water transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
60,Transportation,Other transportation
40,Transportation,Ground transportation
40,Transportation,Ground transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
40,Transportation,Ground transportation
32,National Defense,Defense-related activities
32,National Defense,Defense-related activities
11,Community and Regional Development,Disaster relief and insurance
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
62,General Government,General property and records management
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
40,Transportation,Ground transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
41,Transportation,Air transportation
11,Community and Regional Development,Disaster relief and insurance
32,National Defense,Defense-related activities
11,Community and Regional Development,Disaster relief and insurance
59,Transportation,Water transportation
59,Transportation,Water transportation
24,Natural Resources and Environment,Pollution control and abatement
59,Transportation,Water transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
11,Community and Regional Development,Disaster relief and insurance
11,Community and Regional Development,Disaster relief and insurance
11,Community and Regional Development,Disaster relief and insurance
17,Income Security,Food and nutrition assistance
11,Community and Regional Development,Disaster relief and insurance
11,Community and Regional Development,Disaster relief and insurance
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
60,Transportation,Other transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
32,National Defense,Defense-related activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
32,National Defense,Defense-related activities
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
59,Transportation,Water transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
59,Transportation,Water transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
41,Transportation,Air transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
19,General Government,General purpose fiscal assistance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
11,Community and Regional Development,Disaster relief and insurance
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
59,Transportation,Water transportation
59,Transportation,Water transportation
59,Transportation,Water transportation
24,Natural Resources and Environment,Pollution control and abatement
11,Community and Regional Development,Disaster relief and insurance
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
30,Administration of Justice,Federal law enforcement activities
59,Transportation,Water transportation
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
30,Administration of Justice,Federal law enforcement activities
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
4,International Affairs,International security assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
4,International Affairs,International security assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
21,Income Security,Federal employee retirement and disability
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
11,Community and Regional Development,Disaster relief and insurance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
11,Community and Regional Development,Disaster relief and insurance
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
30,Administration of Justice,Federal law enforcement activities
27,Health,Health care services
27,Health,Health care services
39,"Education, Training, Employment, and Social Services",Social services
63,Health,Health research and training
27,Health,Health care services
63,Health,Health research and training
12,Health,Consumer and occupational health and safety
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
52,Medicare,Medicare
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
52,Medicare,Medicare
27,Health,Health care services
27,Health,Health care services
52,Medicare,Medicare
52,Medicare,Medicare
12,Health,Consumer and occupational health and safety
12,Health,Consumer and occupational health and safety
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
63,Health,Health research and training
64,Health,Health care services;Health research and training
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
42,Income Security,Other income security
42,Income Security,Other income security
42,Income Security,Other income security
34,"Education, Training, Employment, and Social Services",Training and employment
39,"Education, Training, Employment, and Social Services",Social services
42,Income Security,Other income security
42,Income Security,Other income security
42,Income Security,Other income security
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
42,Income Security,Other income security
42,Income Security,Other income security
42,Income Security,Other income security
42,Income Security,Other income security
63,Health,Health research and training
52,Medicare,Medicare
63,Health,Health research and training
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
12,Health,Consumer and occupational health and safety
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
12,Health,Consumer and occupational health and safety
27,Health,Health care services
63,Health,Health research and training
63,Health,Health research and training
12,Health,Consumer and occupational health and safety
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
12,Health,Consumer and occupational health and safety
27,Health,Health care services
27,Health,Health care services
63,Health,Health research and training
27,Health,Health care services
65,Governmental Receipts,Governmental Receipts
65,Governmental Receipts,Governmental Receipts
65,Governmental Receipts,Governmental Receipts
65,Governmental Receipts,Governmental Receipts
52,Medicare,Medicare
52,Medicare,Medicare
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
52,Medicare,Medicare
52,Medicare,Medicare
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
27,Health,Health care services
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
41,Transportation,Air transportation
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
66,"General Science, Space, and Technology","Space flight, research, and supporting activities"
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
5,International Affairs,International financial programs
5,International Affairs,International financial programs
5,International Affairs,International financial programs
50,Veterans Benefits and Services,Income security for veterans
50,Veterans Benefits and Services,Income security for veterans
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
30,Administration of Justice,Federal law enforcement activities
9,Income Security,Housing assistance
9,Income Security,Housing assistance
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
16,Commerce and Housing Credit,Mortgage credit
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
7,Community and Regional Development,Community development
7,Community and Regional Development,Community development
30,Administration of Justice,Federal law enforcement activities
7,Community and Regional Development,Community development
16,Commerce and Housing Credit,Mortgage credit
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
9,Income Security,Housing assistance
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
9,Income Security,Housing assistance
16,Commerce and Housing Credit,Mortgage credit
16,Commerce and Housing Credit,Mortgage credit
16,Commerce and Housing Credit,Mortgage credit
7,Community and Regional Development,Community development
9,Income Security,Housing assistance
22,Commerce and Housing Credit,Other advancement of commerce
9,Income Security,Housing assistance
62,General Government,General property and records management
62,General Government,General property and records management
62,General Government,General property and records management
62,General Government,General property and records management
62,General Government,General property and records management
62,General Government,General property and records management
62,General Government,General property and records management
15,Energy,Energy supply
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
15,Energy,Energy supply
46,Energy,Energy conservation
53,Energy,"Energy information, policy, and regulation"
67,Energy,Emergency energy preparedness
15,Energy,Energy supply
57,"General Science, Space, and Technology",General science and basic research
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
67,Energy,Emergency energy preparedness
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
68,National Defense,Atomic energy defense activities
68,National Defense,Atomic energy defense activities
68,National Defense,Atomic energy defense activities
68,National Defense,Atomic energy defense activities
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
68,National Defense,Atomic energy defense activities
68,National Defense,Atomic energy defense activities
68,National Defense,Atomic energy defense activities
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
46,Energy,Energy conservation
46,Energy,Energy conservation
15,Energy,Energy supply
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
15,Energy,Energy supply
46,Energy,Energy conservation
15,Energy,Energy supply
